host_name	host_taxid	host_tax_rank	host_lineage	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Salmonella enterica subsp. enterica serovar Montevideo	115981	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Montevideo	['GCF_000238455.2', 'GCF_005576575.1', 'GCF_004328785.1', 'GCF_003864055.1', 'GCF_003641285.1', 'GCF_002761495.1', 'GCF_002761475.1', 'GCF_002761455.1', 'GCF_002761435.1', 'GCF_002761415.1', 'GCF_002761395.1', 'GCF_002761375.1', 'GCF_002761355.1', 'GCF_002761335.1', 'GCF_003130605.1', 'GCF_003073595.1', 'GCF_003073575.1', 'GCF_003071485.1', 'GCF_003054535.1', 'GCF_000973665.2', 'GCF_000973665.1', 'GCF_000940975.1', 'GCF_000188955.2', 'GCA_008985305.2', 'GCA_008985545.2', 'GCA_010394245.2', 'GCA_009035925.2', 'GCA_014432665.2', 'GCA_009221365.2', 'GCA_018340465.1', 'GCA_018340115.1', 'GCA_018339815.1', 'GCA_018339015.1']	GCF_000238455.2	Unreference	Complete Genome	115981	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Poona	436295	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Poona	['GCF_900478385.1', 'GCF_000493295.2']	GCF_900478385.1	Unreference	Complete Genome	436295	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	588858	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	['GCF_008244845.1', 'GCF_008244825.1', 'GCF_008244805.1', 'GCF_008244785.1', 'GCF_000022165.1']	GCF_008244845.1	Unreference	Complete Genome	588858	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Salmonella enterica subsp. enterica serovar Corvallis	593905	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Corvallis	['GCF_002265865.2', 'GCF_008727555.1', 'GCF_003071545.1']	GCF_002265865.2	Unreference	Complete Genome	593905	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:-	1331664	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	['GCF_000006945.2']	GCF_000006945.2	Reference	Complete Genome	59201	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Enteritidis str. LK5	272989	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	['GCF_000006945.2']	GCF_000006945.2	Reference	Complete Genome	59201	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. salamae	59202	subspecies	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. salamae	['GCF_003872475.1', 'GCF_005900065.1', 'GCF_006914355.1', 'GCF_005899965.1', 'GCF_006912375.1', 'GCF_003873385.1', 'GCF_019339485.1', 'GCF_019339465.1', 'GCF_019339445.1', 'GCF_900635535.1', 'GCF_003994555.1', 'GCF_900635655.1', 'GCF_003994675.1', 'GCF_003994635.1', 'GCF_003324815.1', 'GCF_003324795.1', 'GCF_900478225.1', 'GCF_900478195.1', 'GCF_900477985.1', 'GCF_002234475.1', 'GCF_002211865.1', 'GCA_013138375.1', 'GCA_013138325.1', 'GCA_013138305.1', 'GCA_013138225.1', 'GCA_013138165.1']	GCF_003872475.1	Unreference	Complete Genome	59202	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. salamae
Salmonella enterica subsp. diarizonae	59204	subspecies	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. diarizonae	['GCF_003872565.1', 'GCF_001832255.2', 'GCF_019222725.1', 'GCF_014123145.1', 'GCF_013328855.1', 'GCF_003324755.1', 'GCF_004126495.1', 'GCF_900478155.1', 'GCF_002794415.1', 'GCF_002211965.1', 'GCF_002211825.1', 'GCF_001629775.1', 'GCF_001629755.1', 'GCF_001628755.1', 'GCA_013162305.1', 'GCA_013138265.1', 'GCA_013138245.1', 'GCA_013138125.1', 'GCA_003324895.1']	GCF_003872565.1	Unreference	Complete Genome	59204	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. diarizonae
Salmonella enterica subsp. enterica serovar Hadar	149385	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Hadar	['GCF_016454325.1', 'GCF_004768645.1', 'GCF_002209205.2', 'GCA_022569735.1', 'GCA_022569715.1', 'GCA_007862245.2', 'GCA_011184255.2', 'GCA_005688995.2', 'GCA_010417285.2', 'GCA_019915665.1']	GCF_016454325.1	Unreference	Complete Genome	149385	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Infantis	595	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Infantis	['GCF_022117515.1', 'GCF_006685825.1', 'GCF_005415515.1', 'GCF_005447645.1', 'GCF_005447485.1', 'GCF_005545055.1', 'GCF_013377355.1', 'GCF_013377335.1', 'GCF_013377315.1', 'GCF_010919335.1', 'GCF_006402875.1', 'GCF_900478235.1', 'GCF_002863785.1', 'GCF_001931615.1', 'GCF_001931595.1', 'GCF_001931575.1', 'GCF_001931555.1', 'GCF_000953495.1', 'GCA_004282055.2', 'GCA_008757795.3', 'GCA_010964235.2', 'GCA_011189075.2', 'GCA_009397805.2', 'GCA_009218325.2', 'GCA_019915605.1', 'GCA_008025235.2', 'GCA_018340565.1', 'GCA_018340545.1', 'GCA_008111065.2', 'GCA_010004265.2', 'GCA_012957765.2', 'GCA_008505865.2', 'GCA_009584725.2', 'GCA_009525455.2', 'GCA_009584525.2', 'GCA_008539015.2', 'GCA_008504465.2', 'GCA_008505585.2', 'GCA_008505445.2', 'GCA_008457375.2', 'GCA_005767655.2', 'GCA_005414475.2', 'GCA_008457465.2', 'GCA_005549915.2', 'GCA_008504985.2', 'GCA_011182555.2', 'GCA_010934915.2', 'GCA_008761195.2', 'GCA_008759735.2', 'GCA_008759235.2', 'GCA_008757635.2', 'GCA_008757795.2', 'GCA_007864305.2', 'GCA_011311395.2', 'GCA_008750115.2', 'GCA_013114875.1', 'GCF_012224005.1', 'GCF_012223825.1', 'GCF_012223625.1', 'GCF_012223285.1', 'GCF_012223145.1', 'GCF_005886015.1', 'GCF_005885995.1', 'GCF_000230875.1', 'GCA_021559975.1', 'GCA_004762845.1']	GCF_022117515.1	Unreference	Complete Genome	595	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Indiana	286783	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Indiana	['GCF_022350005.1', 'GCF_021228955.1', 'GCF_015697765.1', 'GCF_014217955.1', 'GCF_012054045.1', 'GCF_012053905.1', 'GCF_012053725.1', 'GCF_012053525.1', 'GCF_012053325.1', 'GCF_012053145.1', 'GCF_012052965.1', 'GCF_012052805.1', 'GCF_012052605.1', 'GCF_012052445.1', 'GCF_012052085.1', 'GCF_008330205.1', 'GCF_006517075.1', 'GCF_006517035.1', 'GCF_005221485.1', 'GCF_002224405.1', 'GCA_007232625.2', 'GCF_008369665.2', 'GCF_008369665.1']	GCF_022350005.1	Unreference	Complete Genome	286783	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Pullorum	605	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Pullorum	['GCF_003606225.1', 'GCF_000330485.2', 'GCF_000444445.1', 'GCA_007626135.2', 'GCA_007500235.2', 'GCA_018338655.1', 'GCF_000953595.1']	GCF_003606225.1	Unreference	Complete Genome	605	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Brandenburg	149387	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Brandenburg	['GCF_004328765.1', 'GCF_003324835.1', 'GCF_003324855.1', 'GCA_007763575.2', 'GCA_007230335.2', 'GCA_018338995.1']	GCF_004328765.1	Unreference	Complete Genome	149387	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Salmonella enterica subsp. enterica serovar Albany	211968	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	Salmonella enterica subsp. enterica serovar Albany	['GCF_014840915.2', 'GCF_014805785.2', 'GCF_014394985.2', 'GCF_016025435.1', 'GCF_016025395.1', 'GCF_016025375.1', 'GCF_015708295.1', 'GCF_015159575.1', 'GCF_014840915.1', 'GCF_014805785.1', 'GCF_014394985.1', 'GCF_004194605.3', 'GCF_004194605.2', 'GCF_000487515.2', 'GCA_010804465.2', 'GCA_012957725.2', 'GCA_008917945.2']	GCF_014840915.2	Unreference	Complete Genome	211968	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Serratia marcescens	615	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	Serratia marcescens	['GCF_003516165.1']	GCF_003516165.1	Represent	Chromosome	615	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia marcescens;t__
Serratia sp. ATCC 39006	104623	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	Serratia sp. ATCC 39006	['GCF_000463345.2', 'GCF_002847015.1']	GCF_000463345.2	Unreference	Complete Genome	104623	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia sp. ATCC 39006;t__
Serratia rubidaea	61652	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	Serratia rubidaea	['GCF_016026735.1']	GCF_016026735.1	Represent	Complete Genome	61652	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia rubidaea;t__
Shewanella putrefaciens	24	species	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella	Shewanella putrefaciens	['GCF_016406325.1']	GCF_016406325.1	Represent	Complete Genome	24	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella putrefaciens;t__
Shewanella sp. 4	1386772	species	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella	Shewanella sp. 4	['GCF_020511155.1']	GCF_020511155.1	Represent	Complete Genome	1386772	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella sp. 4;t__
Shigella boydii	621	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	Shigella boydii	['GCF_016726285.1', 'GCF_013394555.1', 'GCF_013394535.1', 'GCF_013394515.1', 'GCF_013394495.1', 'GCF_002950375.1', 'GCF_007106565.1', 'GCF_002946735.1', 'GCF_002950315.1', 'GCF_002950275.1', 'GCF_002950135.1', 'GCF_002950035.1', 'GCF_002949535.1', 'GCF_002949495.1', 'GCF_002949475.1', 'GCF_002949455.1', 'GCF_002949175.1', 'GCF_001027225.1', 'GCF_000020185.1', 'GCF_000012025.1', 'GCF_009738345.1', 'GCF_009738325.1', 'GCF_009738285.1', 'GCF_002949895.1', 'GCF_002950355.1', 'GCF_002949955.1']	GCF_016726285.1	Unreference	Complete Genome	621	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella boydii;t__
Escherichia coli DH5[alpha]	668369	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli	Escherichia coli	['GCF_000008865.2', 'GCF_000005845.2']	GCF_000008865.2	Reference	Complete Genome	562	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
Shigella flexneri 2a	42897	serotype	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella; Shigella flexneri	Shigella flexneri 2a	['GCF_000006925.2']	GCF_000006925.2	Reference	Complete Genome	42897	serotype	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;t__
Shigella dysenteriae	622	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	Shigella dysenteriae	['GCF_022354145.1', 'GCF_022354085.1', 'GCF_022354065.1', 'GCF_015475595.1', 'GCF_010231685.1', 'GCF_009662135.1', 'GCF_002949875.1', 'GCF_002949815.1', 'GCF_002950175.1', 'GCF_002950155.1', 'GCF_002950115.1', 'GCF_002950075.1', 'GCF_002950015.1', 'GCF_002949915.1', 'GCF_002949855.1', 'GCF_002949835.1', 'GCF_002949775.1', 'GCF_002949755.1', 'GCF_002949715.1', 'GCF_002949675.1', 'GCF_002949415.1', 'GCF_002741615.1', 'GCF_002950095.1', 'GCF_002950055.1', 'GCF_002949935.1', 'GCF_002943855.1', 'GCF_000497505.1', 'GCF_000012005.1', 'GCF_002950295.1']	GCF_022354145.1	Unreference	Complete Genome	622	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella dysenteriae;t__
Sodalis glossinidius str. 'morsitans'	343509	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Bruguierivoracaceae; Sodalis; Sodalis glossinidius	Sodalis glossinidius str. 'morsitans'	['GCF_900004845.1', 'GCF_000010085.1']	GCF_900004845.1	Unreference	Complete Genome	343509	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae;g__Sodalis;s__Sodalis glossinidius;t__Sodalis glossinidius str. 'morsitans'
Sodalis glossinidius	63612	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Bruguierivoracaceae; Sodalis	Sodalis glossinidius	['GCF_900004845.1', 'GCF_000010085.1']	GCF_900004845.1	Unreference	Complete Genome	63612	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae;g__Sodalis;s__Sodalis glossinidius;t__
Sphingomonas paucimobilis	13689	species	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	Sphingomonas paucimobilis	['GCF_016027095.1']	GCF_016027095.1	Represent	Complete Genome	13689	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis;t__
Spiroplasma citri	2133	species	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	Spiroplasma citri	['GCF_001886855.1']	GCF_001886855.1	Represent	Complete Genome	2133	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma citri;t__
Spiroplasma melliferum	2134	species	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	Spiroplasma melliferum	['GCF_005222125.1']	GCF_005222125.1	Unreference	Complete Genome	2134	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma melliferum;t__
Spiroplasma kunkelii	47834	species	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	Spiroplasma kunkelii	['GCF_001274875.1']	GCF_001274875.1	Represent	Complete Genome	47834	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma kunkelii;t__
Staphylococcus aureus subsp. aureus COL	93062	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus subsp. aureus COL	['GCF_000012045.1']	GCF_000012045.1	Unreference	Complete Genome	93062	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus COL
Staphylococcus epidermidis	1282	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus epidermidis	['GCF_006094375.1']	GCF_006094375.1	Represent	Complete Genome	1282	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis;t__
Staphylococcus epidermidis RP62A	176279	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis	Staphylococcus epidermidis RP62A	['GCF_000011925.1']	GCF_000011925.1	Unreference	Complete Genome	176279	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis;t__Staphylococcus epidermidis RP62A
Staphylococcus haemolyticus	1283	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus haemolyticus	['GCF_001611955.1']	GCF_001611955.1	Represent	Complete Genome	1283	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus;t__
Staphylococcus aureus subsp. aureus RN4220	561307	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus subsp. aureus RN4220	['GCF_018732165.1']	GCF_018732165.1	Unreference	Complete Genome	561307	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus NCTC 8325
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus subsp. aureus NCTC 8325	['GCF_000013425.1']	GCF_000013425.1	Reference	Complete Genome	93061	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus NCTC 8325
Staphylococcus aureus HIP07256	1334189	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus	['GCF_000013425.1']	GCF_000013425.1	Reference	Complete Genome	1280	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__
Staphylococcus aureus subsp. aureus N315	158879	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus subsp. aureus N315	['GCF_000009645.1']	GCF_000009645.1	Unreference	Complete Genome	158879	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus N315
Staphylococcus aureus subsp. aureus str. Newman	426430	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	Staphylococcus aureus subsp. aureus str. Newman	['GCF_002310435.1', 'GCF_000010465.1']	GCF_002310435.1	Unreference	Complete Genome	426430	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus;t__Staphylococcus aureus subsp. aureus str. Newman
Staphylococcus saprophyticus	29385	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus saprophyticus	['GCF_007814115.1']	GCF_007814115.1	Represent	Complete Genome	29385	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus;t__
Staphylococcus pseudintermedius E140	1266717	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group; Staphylococcus pseudintermedius	Staphylococcus pseudintermedius E140	['GCF_000478385.1']	GCF_000478385.1	Unreference	Chromosome	1266717	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius;t__Staphylococcus pseudintermedius E140
Staphylococcus pseudintermedius	283734	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus intermedius group	Staphylococcus pseudintermedius	['GCF_016126715.1']	GCF_016126715.1	Represent	Complete Genome	283734	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius;t__
Staphylococcus pasteuri	45972	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus pasteuri	['GCF_016725285.1', 'GCF_016725205.1', 'GCF_016599795.1', 'GCF_007814825.1', 'GCF_002442915.1', 'GCF_000494875.1']	GCF_016725285.1	Unreference	Complete Genome	45972	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri;t__
Staphylococcus epidermidis 36-1	1248411	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis	Staphylococcus epidermidis	['GCF_006094375.1']	GCF_006094375.1	Represent	Complete Genome	1282	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis;t__
Staphylococcus hominis	1290	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus hominis	['GCF_003812505.1']	GCF_003812505.1	Represent	Complete Genome	1290	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis;t__
Staphylococcus capitis	29388	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus capitis	['GCF_022531845.1', 'GCF_020883475.1', 'GCF_015243435.1', 'GCF_013267675.1', 'GCF_002591175.1', 'GCF_002356175.1', 'GCF_001028645.1']	GCF_022531845.1	Unreference	Complete Genome	29388	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis;t__
Staphylococcus xylosus	1288	species	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Staphylococcus xylosus	['GCF_000709415.1']	GCF_000709415.1	Represent	Complete Genome	1288	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus;t__
Stenotrophomonas maltophilia	40324	species	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	Stenotrophomonas maltophilia	['GCF_900475405.1']	GCF_900475405.1	Represent	Complete Genome	40324	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia;t__
Streptococcus thermophilus DSM 20617	1091038	strain	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus thermophilus	Streptococcus thermophilus	['GCF_903886475.1']	GCF_903886475.1	Represent	Complete Genome	1308	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus;t__
